carrier_routes_46809_extracted
street_name,range_start,range_end,even_odd,carrier_number
2ND ST,10400,10498,E,C095
10TH ST,10400,10599,,C095
AIR ST,3400,4199,,C095
AIR GUARD RD,10400,11099,,C095
AIRPORT DR,8900,10399,,C095
AIRPORT EXPY,3800,5399,,R008
ALGONQUIN PASS,3500,3620,,C087
ALGONQUIN PASS,3601,3698,,C086
ALGONQUIN PASS,3649,3699,O,C087
ALLEGANY AVE,2400,3199,,C089
ALLENDALE CT,6000,6099,,C089
ALLENDALE DR,5500,5999,,C089
ALMA AVE,2400,2799,,C095
ALPINE AVE,3300,3499,,C086
ALTITUDE DR,4400,4599,,R008
AMERICAN WAY,2400,2999,,C095
ANOKA DR,7700,8099,,R008
APACHE CT,2000,2199,,C087
ARBOR AVE,5600,5999,,C089
ARDMORE AVE,4400,7398,,R011
ARDMORE AVE,9000,10099,,R008
ARROW DR,4200,4599,,C086
ASHWOOD DR,4700,5099,,R011
AUTUMN KNOLL CT,4900,4999,,C089
AVIATION DR,8500,8899,,R008
AVIONICS DR,9200,9499,,R008
BAER RD,6500,7899,,C094
BAER RD,8000,8201,,R008
BAER FIELD THRUWAY,2400,3699,,C095
BEATY AVE,6300,6699,,C083
BEATY AVE,6900,7419,,C094
BEATY AVE,7420,7466,,C006
BEATY AVE,7452,7499,,C094
BEATY AVE,7500,7699,,C096
BELINERS RD,19601,19699,O,C083
BELLE VISTA BLVD,2300,2699,,C083
BELLE VISTA BLVD,2700,2899,,C089
BLUE SPRUCE CT,6100,6199,,C083
BLUFFTON RD,1500,4599,,C087
BLUFFTON RD,4600,6799,,C083
BLUFFTON RD,6800,7398,,C094
BLUFFTON RD,7301,13099,,C095
BOARDWALK CIR,2501,3099,,C095
BRADBURY AVE,6200,6999,,C083
BRADBURY AVE,7000,7599,,C094
BRADBURY AVE,7600,7899,,C095
BRANSTRATOR RD,8400,11599,,R008
BROADRIPPLE DR,2700,3099,,C083
BROOKLYN AVE,2900,2998,E,C086
BROOKLYN AVE,2901,3098,O,C087
BROOKLYN AVE,3001,3099,O,C086
BROOKLYN AVE,3100,3199,,C087
BROOKLYN AVE,3200,3298,E,C086
BROOKLYN AVE,3201,3398,,C087
BROOKLYN AVE,3301,3399,O,C086
BROOKLYN AVE,3400,3799,,C087
BURNSDALE AVE,7300,7499,,C094
BUSKIRK RD,11600,11899,,R008
N CEDAR CREST CIR,3300,3499,,C086
S CEDAR CREST CIR,3300,3499,,C086
W CEDAR CREST CIR,4600,4799,,C086
CHEYENNE DR,2000,2199,,C087
CHURCH ST,2400,2599,,C094
CLE ELUM DR,2500,2699,,C089
CLEARBROOK DR,3400,3599,,C095
CLEVELAND AVE,4500,4598,E,C087
CLEVELAND AVE,4501,4599,O,C089
CLUBRIDGE DR,9000,9199,,C095
COMMERCIAL RD,2400,3099,,C095
CONSERVATION WAY,9000,9499,,R008
CORVALIS AVE,2500,2899,,C083
COVERDALE RD,8100,11899,,R008
DALEVUE DR,3400,3599,,C094
DALMAN RD,5400,6399,,R008
DE FOREST AVE,4300,4398,E,C087
DE FOREST AVE,4301,4399,O,C086
DE FOREST AVE,4400,5399,,C089
DELCON DR,7800,8099,,R008
DOROTHY DR,5400,5699,,R011
EARHART DR,4500,4599,,R008
EARTH DR,4200,4599,,C086
ELMAE DR,3900,4199,,R011
ELMCREST DR,3500,4199,,R011
ELMHURST DR,3300,3799,,C089
ELZEY ST,6800,7399,,C094
EMERY DR,4600,4699,,R008
ENGLE RD,2100,3599,,C086
ENOLA CT,3900,4099,,C086
ERNST RD,8500,9899,,R008
FAIRBROOK CT,2700,2799,,C083
FAIROAK DR,2400,3099,,C083
FERGUSON RD,2400,4699,,C095
FERGUSON RD,4700,7899,,R008
FERNWOOD AVE,4900,5999,,C089
FERNWOOD AVE,6400,6899,,C094
GARDENVIEW AVE,5000,5499,,C089
GARDENVIEW DR,6400,6599,,C083
GATES CT,6000,6099,,C083
GATES DR,5600,5899,,C089
GENESSEE AVE,2400,3199,,C089
GILBERT DR,2700,2799,,C089
GREENVIEW AVE,2500,2899,,C089
GRUBER AVE,1700,1899,,C087
HABER DR,6000,6499,,R011
HARDROCK RD,3900,3999,,R011
HIAWATHA BLVD,2200,4199,,C087
HICKORY CREEK DR,7100,7499,,C094
IDEAL AVE,6600,7599,,C094
ILLANINA AVE,3300,3499,,C086
INDIAN HILLS DR,3900,4199,,C086
INDIAN VILLAGE BLVD,2100,2499,,C087
INDIANAPOLIS RD,8700,11499,,R008
IROQUOIS CT,3500,3699,,C087
KEKIONGA DR,4200,4699,,C086
KELLER RD,10600,11099,,R008
KELMAR DR,2700,2999,,C089
KICKAPOO CT,3500,3699,,C087
KILBOURNE DR,7400,7699,,R011
