street_name,range_start,range_end,even_odd,carrier_number
AIRLINE DR,1500,1599,,C093
ALLISON AVE,7500,7999,,C097
AMHERST DR,7800,8199,,C098
S ANTHONY EXT,10500,15499,,R004
ARDIS DR,800,899,,C091
ARDIS DR,900,1099,,C080
ARDIS ST,1400,2099,,C080
ASHTON POINTE BLVD,8900,9299,,C098
AVALON DR,7000,7599,,C093
AYLESFORD DR,900,1099,,C091
BABCOCK DR,1600,1999,,C080
BABCOCK LN,1500,1599,,C080
BAER FIELD THRUWAY,6000,8799,,C091
BAYLOR DR,7200,7499,,C098
BEAVANS RD,12000,12199,,R004
BLAIR RD,2100,2399,,R004
BLUE MIST RD,6600,7099,,C091
BLUFFTON RD,14800,16399,,R004
BOGGS AVE,800,999,,C097
BOSTICK RD,2600,3399,,R004
BOSUNS DR,600,999,,C097
BRECKENWOOD DR,7400,7799,,C093
BRIDGETON CT,100,199,,R026
BROOKLANE DR,11500,11699,,R004
BRYANT CT,2200,2299,,C098
BURR OAK DR,9100,9299,,C097
CAPRI DR,7300,7499,,C093
CHARLOTTE ST,3800,3999,,R004
CHEPEQUAH LN,5100,5199,,C080
CHESAPEAKE PT,9800,9899,,C097
CHESTER BLVD,5600,5899,,C080
CHESTERFIELD RUN,8600,8699,,C097
CLAYBURN CT,800,899,,C080
CLAYBURN DR,900,1099,,C080
CLEMSON DR,7200,7399,,C098
COLGATE DR,2200,2299,,C098
COMER RD,14200,17899,,R004
COMMUNITY LN,7900,8199,,C098
CONNORS RD,13400,17899,,R004
CORLINE ST,6800,6998,,C080
CORLINE ST,6905,7299,,C093
S COUNTY LINE RD E,101,1799,,R004
S COUNTY LINE RD W,100,398,E,R004
CRESTWAY DR,900,1099,,C080
DADE DR,2300,2399,,C093
DALE DR,2100,2399,,C098
DODANE RD,500,1599,,R004
DONNA DR,6200,6599,,C080
DRAKE DR,2200,2299,,C098
DUNKELBERG RD,200,1099,,C097
DUNKELBERG RD,1100,2399,,C098
DURBAN DR,7900,7999,,C098
DURBAN DR,8000,8098,E,C093
DURBAN DR,8001,8099,O,C098
EDINBURGH LN,8600,8699,,C097
EILEEN ST,1800,1999,,C093
EVERGLADE CT,7900,7999,,C098
FAIROAK DR,2100,2199,,C098
FAIROAK DR,2200,2299,,C093
FAIROAK DR,2300,2399,,C098
E FERGUSON RD,100,299,,C097
W FERGUSON RD,100,2399,,C097
FILLMORE ST,3800,3900,,R004
GILFORD DR,2300,2399,,C098
GINSENG LN,1000,1099,,C098
GLAMIS AVE,2300,2399,,R004
GODFREY RD,1600,1799,,C080
GREENLEAF DR,8900,9299,,C097
HALSTONE LN,1000,1099,,C097
E HAMILTON RD,100,799,,R004
W HAMILTON RD,600,2399,,R004
HARBOR WALK DR,500,999,,C097
HARTZELL ST,1800,1999,,C080
HEATHERTON DR,6800,7099,,C080
HEMPFORD CT,700,799,,C097
HEMPFORD DR,8600,8899,,C097
HEMPFORD PL,800,899,,C097
HEMPHILL DR,8900,9799,,C097
HILTONIA DR,6700,6999,,C093
HOLLYHILL DR,900,1099,,C080
HOPEWELL DR,1800,1999,,C093
HUNTS LN,2400,2599,,R004
INTERLAKEN DR,2200,2399,,C080
KINGSWAY DR,7300,7799,,C093
KINNERK RD,7301,10399,,C097
KNIGHTSWOOD DR,7200,7899,,C091
KOESTER DR,6600,6898,,C093
KOESTER DR,6801,6998,,C098
KOESTER DR,6901,6999,O,C093
LAFOUNTAIN DR,12200,12299,,R004
LAHRMAN RD,200,12899,,R004
LAKERIDGE DR,7200,7699,,C091
LAKERIDGE PL,800,999,,C091
LAKEWOOD CT,6700,6799,,C080
LAKEWOOD DR,1300,2199,,C080
E LAWN DR,900,1099,,C091
LEGOMA DR,1700,2299,,C098
LEHMAN RD,2800,3199,,R004
LIBERTY DR,6500,6528,E,C098
LIBERTY DR,6501,6699,,C093
LIBERTY DR,6700,6799,,C098
LIGHTHOUSE CT,900,999,,C097
LINCOLNWAY CT,2000,2399,,C098
LOTHAMER DR,14900,15299,,R004
LOWELL CT,8500,8599,,C097
LOWER HUNTINGTON RD,400,1199,,C091
LOWER HUNTINGTON RD,1200,1298,E,C093
LOWER HUNTINGTON RD,1201,1299,O,C091
LOWER HUNTINGTON RD,1300,1398,E,C093
LOWER HUNTINGTON RD,1301,1399,O,C091
LOWER HUNTINGTON RD,1400,1498,E,C093
LOWER HUNTINGTON RD,1401,1799,O,C091
LOWER HUNTINGTON RD,1800,1898,,C093
LOWER HUNTINGTON RD,1837,1839,O,C091
LOWER HUNTINGTON RD,1841,2399,,C093
LUTZ RD,16700,16799,,R004
MAJIC PORT LN,10501,10699,,C097
